datetime,Date,hour,currency_name,Value,coin_symbol,Date
2022-08-15,2022-08-15,0,ethereum,1936.7011636052605,ETH,2022-08-15
2022-08-16,2022-08-16,0,ethereum,1908.2776419059185,ETH,2022-08-16
2022-08-17,2022-08-17,0,ethereum,1880.6001012594395,ETH,2022-08-17
2022-08-18,2022-08-18,0,ethereum,1834.8264526426372,ETH,2022-08-18
2022-08-19,2022-08-19,0,ethereum,1850.1112910473696,ETH,2022-08-19
2022-08-20,2022-08-20,0,ethereum,1618.5325042633535,ETH,2022-08-20
2022-08-21,2022-08-21,0,ethereum,1579.4157230953704,ETH,2022-08-21
2022-08-22,2022-08-22,0,ethereum,1624.149982884847,ETH,2022-08-22
2022-08-23,2022-08-23,0,ethereum,1622.30703457785,ETH,2022-08-23
2022-08-24,2022-08-24,0,ethereum,1665.7919073919315,ETH,2022-08-24
2022-08-25,2022-08-25,0,ethereum,1657.7936424663385,ETH,2022-08-25
2022-08-26,2022-08-26,0,ethereum,1697.0769719636442,ETH,2022-08-26
2022-08-27,2022-08-27,0,ethereum,1510.1891114840514,ETH,2022-08-27
2022-08-28,2022-08-28,0,ethereum,1496.0554659420902,ETH,2022-08-28
2022-08-29,2022-08-29,0,ethereum,1438.7470503278116,ETH,2022-08-29
2022-08-30,2022-08-30,0,ethereum,1555.1774560415913,ETH,2022-08-30
2022-08-31,2022-08-31,0,ethereum,1525.400116232047,ETH,2022-08-31
2022-09-01,2022-09-01,0,ethereum,1552.5629662281337,ETH,2022-09-01
2022-09-02,2022-09-02,0,ethereum,1588.9803510869067,ETH,2022-09-02
2022-09-03,2022-09-03,0,ethereum,1575.1766307276075,ETH,2022-09-03
2022-09-04,2022-09-04,0,ethereum,1555.6740772078124,ETH,2022-09-04
2022-09-05,2022-09-05,0,ethereum,1578.9493013433012,ETH,2022-09-05
2022-09-06,2022-09-06,0,ethereum,1617.9354554854337,ETH,2022-09-06
2022-09-07,2022-09-07,0,ethereum,1564.5589540302462,ETH,2022-09-07
2022-09-08,2022-09-08,0,ethereum,1629.8832311636493,ETH,2022-09-08
2022-09-09,2022-09-09,0,ethereum,1635.9321760130483,ETH,2022-09-09
2022-09-10,2022-09-10,0,ethereum,1717.0769569840472,ETH,2022-09-10
2022-09-11,2022-09-11,0,ethereum,1779.5190288833046,ETH,2022-09-11
2022-09-12,2022-09-12,0,ethereum,1761.317355880691,ETH,2022-09-12
2022-09-13,2022-09-13,0,ethereum,1710.1642908515214,ETH,2022-09-13
2022-09-14,2022-09-14,0,ethereum,1573.2052136951713,ETH,2022-09-14
2022-09-15,2022-09-15,0,ethereum,1635.3682061921256,ETH,2022-09-15
